Year,Country,Region,SubRegion,SurfAreaSqKm,PopTotal,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MobileSubs/100,MortRateU5,NetMigr,UrbanPopGrowth%,LifeGroup,Period,Strata
2016.0,Barbados,Americas,Latin America and the Caribbean,430.0,278649.0,648.020930232558,0.203329499651748,4832811750.0,2.53302488224136,41.218,1.29324300703416,36.5355064781905,1.613,557500316.04356,16350.0,4556341599.21359,42.1102642783469,12.9914019514623,-0.238566760157255,76.815,44.2599486727369,119.2209554,13.8,-65.0,0.0241633443244133,High,2015+,Americas_High_
2000.0,Tonga,Oceania,Polynesia,750.0,102603.0,142.504166666667,0.607084495200795,204848436.577021,0.875990063008445,23.819,19.6369230036126,14.268589417129,4.108,9212396.8723,1990.0,203907576.836941,38.5493896101189,18.1059001873312,5.56815913394242,68.978,38.0769320495511,0.175433467,17.0,-1617.0,0.726874042601457,Medium,2000-2007,Oceania_Medium_
2018.0,Guatemala,Americas,Latin America and the Caribbean,108890.0,16346950.0,152.547125793206,1.60038598150372,73328369925.8478,3.40687339997949,76.279,9.435507565446,18.1693265265636,2.743,922397870.0,4400.0,71991566180.792,28.8423555448314,21.426432384342,1.27161217513023,72.726,41.5500849545821,121.4676927,25.4,-56884.0,2.33564723328312,Medium,2015+,Americas_Medium_
2012.0,South Africa,Africa,Sub-Saharan Africa,1219090.0,53145033.0,43.8096373723302,1.32915852455183,434400545085.811,2.39623238465745,71.595,1.97670959546361,27.1391491937679,2.447,4626029122.40007,8320.0,442087802250.894,28.4434679995666,24.4686002355753,4.68520638813985,61.846,52.2006711467653,128.6931179,41.5,68846.0,2.16396302025893,Low,2008-2014,Africa_Low_
2018.0,India,Asia,Southern Asia,3287260.0,1369003306.0,460.44931739983,1.08752772157855,2702929639861.5,6.45385134497769,19.275,16.0316306863431,19.9278285988562,2.177,42117450737.2644,1980.0,2713329694951.9,23.6891407335327,26.412091901691,3.88424027196663,70.71,31.0493468872909,85.90350833,36.4,-561563.0,2.35916997461045,Medium,2015+,Asia_Medium_
2004.0,Estonia,Europe,Northern Europe,45230.0,1362550.0,32.1431941495636,-0.597820510395586,12145911801.2422,6.80400777050136,22.436,3.61949868570147,61.0793356433405,1.47,1086893435.16594,7500.0,10218911832.9058,68.8988723961921,25.4317200409636,4.69046936929665,71.909756097561,117.471625296511,92.165096,7.8,-3768.0,-0.782094568681874,Medium,2000-2007,Europe_Medium_
2002.0,Thailand,Asia,South-eastern Asia,513120.0,64222580.0,125.707255965081,0.895723403218221,134300903357.962,6.14903605210036,38.292,8.6921781801026,60.6457526009701,1.567,3341612007.23692,1980.0,127269578519.714,54.3239904200966,36.8944314471526,1.69045805604154,72.93,98.8474363766292,27.17095763,19.9,134387.0,4.4747528371425,Medium,2000-2007,Asia_Medium_
2016.0,Mongolia,Asia,Eastern Asia,1564120.0,3029555.0,1.94544517232048,2.16233694829923,11181350649.2247,1.48978448504865,33.643,12.6278436862368,50.8721940528744,2.957,-4156404703.77687,3520.0,10678416260.1179,50.1830431700158,33.1780715296454,2.99312676407123,69.865,73.9982159541136,111.1573482,18.5,7470.0,2.260489418467,Medium,2015+,Asia_Medium_
2019.0,Malaysia,Asia,South-eastern Asia,330241.0,32804020.0,99.8448333586973,1.24151463105699,365177744321.011,4.41318742129586,9.353,7.24130800003819,65.2777668428576,1.834,9154921685.03934,10960.0,359560945818.406,57.7507951850853,37.4765552390649,0.0718269093121364,75.76,121.363639184542,135.9610804,7.9,60824.0,1.9896693934595,High,2015+,Asia_High_
2017.0,Indonesia,Asia,South-eastern Asia,1916820.0,264498852.0,140.876791127014,1.00643952446092,1015618744168.15,5.06978590134916,36.012,13.1566308462661,20.1773044351106,2.262,20510310832.4469,3530.0,934207963791.533,19.17819263535,39.3791548040237,4.29267812199525,69.936,32.0726652467207,164.5351584,25.6,-39282.0,2.23979602121327,Medium,2015+,Asia_Medium_
2014.0,Greenland,Americas,Northern America,410450.0,56295.0,0.137154342794494,-0.333398666658893,2842065877.15443,4.7421356730152,40.527,17.3355902451257,38.4728230205003,2.037,4285695959.712039,23347.68471602169,2729364687.1229186,48.61576076735,15.6961945959501,0.990273554004744,71.9856097560976,50.1747693979479,108.6645696,28.8375906454672,-529.0,-0.0289765085334987,Medium,2008-2014,Americas_Medium_
2011.0,Indonesia,Asia,South-eastern Asia,1910930.0,247099697.0,131.609691832679,1.25573808861315,892969104529.233,6.16978420771008,45.537,13.5122870743946,26.3273530888836,2.499,20564938226.7185,2990.0,737717017010.43,23.8526600952268,43.9134234267133,7.46594303367513,68.823,42.6591466678822,101.095073,32.5,-54051.0,2.61086126042535,Medium,2008-2014,Asia_Medium_
2006.0,Maldives,Asia,Southern Asia,300.0,314401.0,1048.00333333333,2.37628634213334,1575200390.625,26.1114935010553,14.869,6.59515840370508,61.766025505859055,2.231,63826812.8939882,4730.0,1486709814.96907,89.78498564323118,9.51763428908971,7.36583465885958,75.13,73.1335522042954,86.21251205,19.3,4945.0,5.42261918724769,High,2000-2007,Asia_High_
2007.0,New Caledonia,Oceania,Melanesia,18580.0,239250.0,13.0880743982495,1.47371088194967,8819917187.11094,0.5515595460101615,23.597,1.27200175059393,27.3847247877213,2.2,417453934.436208,1703.0097418491202,8400967004.270557,44.7896639289252,31.8496205183584,3.772288959865084,76.4780487804878,55.7034708577497,70.71906066,28.116359675218323,582.0,2.50216372401023,High,2000-2007,Oceania_High_
2011.0,Burundi,Africa,Sub-Saharan Africa,27830.0,9455733.0,368.213901869159,3.54274498118795,2235820808.72908,4.03259998844415,73.442,36.7045760044036,8.80000028373483,6.108,3354999.1805922,220.0,2104211718.70617,34.2000025536135,14.8096813161324,8.36425019828808,57.769,39.1355155379103,20.24788559,85.6,-19517.0,6.07570677801742,Low,2008-2014,Africa_Low_
2008.0,Peru,Americas,Latin America and the Caribbean,1285220.0,28806185.0,22.50483203125,0.716987182658426,120550599815.441,9.1265683014642,68.086,7.16094114578461,29.7276302098838,2.628,6923651284.62579,3760.0,108209359959.08,28.7061371800215,36.3269344719167,1.10327629202855,73.377,50.4178329208237,72.73380352,22.1,-235263.0,1.04493438570835,Medium,2008-2014,Americas_Medium_
